str-gene	str_end	motif	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error
chr11_57522890-ENSG00000149150.4	57522920	4	SLC43A1	358	7	0.3585729876700394	0.039347480283282665	0.0427924892425612	0.7232671160518394	-0.02015504350748549	0.05686656653492531
chr11_57522890-ENSG00000134809.4	57522920	4	TIMM10	358	7	0.0646345219185305	0.07798753138080693	0.04205138739825274	0.0032271105216807316	-0.1678813589513238	0.05654331157262939
chr11_57522890-ENSG00000214872.4	57522920	4	SMTNL1	358	7	0.005670706145134329	0.12114687951822893	0.04348025274125241	0.6112248242091322	0.029771031350939517	0.05850562315978706
chr11_57522890-ENSG00000156587.11	57522920	4	UBE2L6	358	7	0.22690890662771168	-0.033352752766190596	0.027545273568579758	0.19977161425877907	-0.0727437652168553	0.05660884957366284
chr11_57522890-ENSG00000149131.10	57522920	4	SERPING1	358	7	0.3941711302875587	0.04062864235833685	0.04761351536849985	0.8449130963723914	0.011676521016054516	0.059640497178573844
chr11_57524347-ENSG00000134802.12	57524366	1	SLC43A3	331	6	0.4560588183969654	-0.03069026696497483	0.04111708813541878	0.6297040057819097	-0.029454752167698522	0.06102257604318971
chr11_57524347-ENSG00000186907.3	57524366	1	RTN4RL2	331	6	0.9341175284605556	0.0034150256420048533	0.041273450352242204	0.16916854042046064	0.08578126884228557	0.062227262717923455
chr11_57524347-ENSG00000149150.4	57524366	1	SLC43A1	331	6	0.35557322112940926	0.04126018918469344	0.044586425150860594	0.7076432008297232	-0.023418786115976798	0.06238126193620679
chr11_57524347-ENSG00000134809.4	57524366	1	TIMM10	331	6	6.782713449975761e-16	0.3322532998825425	0.03868818631376426	0.5084261751471777	-0.03882173315476864	0.05862906369375072
chr11_57524347-ENSG00000214872.4	57524366	1	SMTNL1	331	6	4.008186332680107e-06	0.20763160623953653	0.04411781356461374	0.35621217123459337	-0.056575382262985745	0.06121765898666669
chr11_57524347-ENSG00000156587.11	57524366	1	UBE2L6	331	6	0.21873617461611536	-0.03628629854695842	0.029435916566914477	0.4297031625865544	-0.04901867759259251	0.06198060680159167
chr11_57524347-ENSG00000149131.10	57524366	1	SERPING1	331	6	0.09557616468494508	-0.08465273125927845	0.050615867422131075	0.23321949208119433	0.07168362320936687	0.059999056097001124
chr11_57524520-ENSG00000134802.12	57524533	1	SLC43A3	359	3	0.48209755466792015	0.027218401145799348	0.038673306228753576	0.9596980831951115	0.0028630213314691693	0.05661007236281932
chr11_57524520-ENSG00000186907.3	57524533	1	RTN4RL2	359	3	0.9344354880741441	0.0031380796412437146	0.038113918633505335	0.7572072226271066	-0.01720545770597635	0.05560357052385658
chr11_57524520-ENSG00000149150.4	57524533	1	SLC43A1	359	3	0.3218704978263615	-0.04140350836023644	0.041726941116746526	0.48271943840467946	0.04085837146624073	0.05813624447086947
chr11_57524520-ENSG00000134809.4	57524533	1	TIMM10	359	3	0.14976509478700983	0.05942792143765939	0.041154008212548866	0.3257661820695371	0.05625211413425941	0.05715057148406186
chr11_57524520-ENSG00000214872.4	57524533	1	SMTNL1	359	3	0.1740306022354658	-0.05843461784675346	0.04288532016839572	0.9580348918990784	0.003056092399395095	0.05803063281953888
chr11_57524520-ENSG00000156587.11	57524533	1	UBE2L6	359	3	0.09519404318715408	0.04499131025328158	0.026878825531024757	0.16181256275413589	-0.07998993026642671	0.05703647235789835
chr11_57524520-ENSG00000149131.10	57524533	1	SERPING1	359	3	0.15762175894517666	-0.06568345196259535	0.04636598439653848	0.3477530780897353	0.05469672790986281	0.05816193960129038
chr11_57528484-ENSG00000186907.3	57528517	2	RTN4RL2	352	14	0.5903807380732528	-0.02054761198405046	0.038130696446391645	0.9840519716736077	0.0011665003805975509	0.05830701845369554
chr11_57528484-ENSG00000149150.4	57528517	2	SLC43A1	352	14	0.3200103949704628	0.04165235245795704	0.04181478275920349	0.8502118077407328	-0.010693654102689593	0.05657598643033576
chr11_57528484-ENSG00000134809.4	57528517	2	TIMM10	352	14	4.017591482317115e-120	0.6495010403445438	0.016395963948308664	0.08427522577221844	0.10008760963713406	0.05777913981984603
chr11_57528484-ENSG00000214872.4	57528517	2	SMTNL1	352	14	0.00016450702198804622	-0.16063738015020418	0.04208276097146169	0.21162910794692708	-0.07001926963469185	0.05593422077043048
chr11_57528484-ENSG00000156587.11	57528517	2	UBE2L6	352	14	0.25818793621333547	0.030671523375987247	0.027074131016186755	0.500084580141299	0.03866172279550119	0.05726059637379631
chr11_57528484-ENSG00000149131.10	57528517	2	SERPING1	352	14	0.14260197554435133	-0.06798731938829611	0.04624691509062153	0.9683739239080006	0.0022778308263033016	0.05740289844081605
